Declined Noun,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
aer:gensg,"m,III,gen,sg","m,III,gen,pl","m,III,gen,pl","m,III,gen,pl","m,III,gen,sg","m,III,gen,sg","m,III,gen,sg","f,III,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,sg","f,I,gen,sg","f,I,gen,pl","f,I,gen,pl","f,I,gen,sg","f,I,gen,sg"
aer:accsg,"m,III,acc,sg","m,III,gen,pl","m,III,gen,sg","m,III,gen,pl","m,III,gen,pl","f,III,gen,pl","f,III,gen,pl","f,III,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl"
aer:nompl,"m,III,nom,pl","m,III,nom,pl","m,III,gen,sg","m,III,gen,sg","m,III,gen,sg","m,III,gen,sg","m,III,gen,sg","f,III,gen,pl","f,I,gen,pl","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,pl","f,I,gen,sg"
aer:genpl,"m,III,gen,pl","m,III,gen,pl","m,III,gen,pl","f,III,gen,pl","m,III,gen,pl","f,III,gen,pl","f,I,gen,pl","f,III,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl"
aer:accpl,"m,III,acc,pl","m,III,nom,pl","m,III,gen,sg","m,III,gen,sg","m,III,gen,sg","m,III,gen,sg","m,III,gen,sg","f,III,gen,pl","f,I,gen,pl","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,pl","f,I,gen,sg"
aestas:nomsg,"f,III,nom,sg","f,I,nom,pl","f,I,gen,pl","m,I,nom,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg"
aestas:gensg,"f,III,gen,sg","f,I,nom,pl","m,III,gen,sg","m,III,gen,sg","f,I,gen,pl","m,III,gen,sg","f,III,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,pl","f,I,gen,pl","f,I,gen,sg","f,I,gen,sg","f,I,gen,pl","f,I,gen,sg","f,I,gen,sg"
aestas:accsg,"f,III,acc,sg","f,I,gen,pl","m,III,gen,sg","f,I,gen,sg","f,I,gen,pl","m,III,gen,pl","f,III,gen,pl","f,I,gen,pl","f,I,gen,sg","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,sg","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl"
aestas:nompl,"f,III,nom,pl","f,I,nom,pl","m,III,gen,sg","m,III,gen,sg","m,III,gen,sg","m,III,gen,sg","f,III,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,pl","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg"
aestas:genpl,"f,III,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","m,III,gen,pl","f,III,gen,pl","f,I,gen,pl","f,I,gen,sg","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl"
aestas:accpl,"f,III,acc,pl","f,I,nom,pl","m,III,gen,sg","m,III,gen,sg","m,III,gen,sg","m,III,gen,sg","f,III,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,pl","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg"
aestus:nomsg,"m,IV,nom,sg","m,II,nom,sg","m,III,nom,sg","m,III,nom,sg","m,I,gen,sg","m,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg"
aestus:gensg,"m,IV,gen,sg","f,III,nom,pl","m,I,nom,sg","m,I,nom,sg","m,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg"
aestus:accsg,"m,IV,acc,sg","m,II,nom,sg","m,III,gen,sg","m,II,gen,sg","m,I,gen,sg","m,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,IV,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg"
aestus:nompl,"m,IV,nom,pl","f,III,nom,pl","m,I,nom,sg","m,I,nom,sg","m,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg"
aestus:genpl,"m,IV,gen,pl","m,III,gen,pl","f,III,gen,sg","m,III,gen,sg","m,III,gen,sg","f,III,gen,pl","f,III,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,sg","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,sg"
